In,,,,,,Out,,,
Espesor tongada,Ángulo de rozamiento,Altura de muro,Inclinación de muro,Densidad relleno,Sobrecarga,Rt,Elong,L. anclaje,Producto recomendado
50,[25..35),[0..5),[50..60),[15..30],[0..10),38,11,"0,8 m de (H)",GEOTEXGRID 30/30
50,[25..35),[0..5),[50..60),[15..30],[10..20),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[50..60),[15..30],[20..30),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[50..60),[15..30],[30..40),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[60..70),[15..30],[0..10),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[60..70),[15..30],[10..20),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[60..70),[15..30],[20..30),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[60..70),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[0..5),[70..80),[15..30],[0..10),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[70..80),[15..30],[10..20),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[70..80),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[0..5),[70..80),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[0..5),[80..90),[15..30],[0..10),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[25..35),[0..5),[80..90),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[0..5),[80..90),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[0..5),[80..90),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[50..60),[15..30],[0..10),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[50..60),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[50..60),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[50..60),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[60..70),[15..30],[0..10),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[60..70),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[60..70),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[60..70),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[70..80),[15..30],[0..10),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[70..80),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[70..80),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[70..80),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[80..90),[15..30],[0..10),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[80..90),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[80..90),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[5..10),[80..90),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[0..5),[50..60),[15..30],[0..10),23,"57,91","0,8 m de (H)",GEOTESAN NT-35
50,[35..45),[0..5),[50..60),[15..30],[10..20),26,60,"0,8 m de (H)",GEOTESAN NT-40
50,[35..45),[0..5),[50..60),[15..30],[20..30),"34,5","63,11","0,8 m de (H)",GEOTESAN NT-58
50,[35..45),[0..5),[50..60),[15..30],[30..40),38,11,"0,8 m de (H)",GEOTEXGRID 30/30
50,[35..45),[0..5),[60..70),[15..30],[0..10),26,60,"0,8 m de (H)",GEOTESAN NT-40
50,[35..45),[0..5),[60..70),[15..30],[10..20),"34,5","63,11","0,8 m de (H)",GEOTESAN NT-58
50,[35..45),[0..5),[60..70),[15..30],[20..30),38,11,"0,8 m de (H)",GEOTEXGRID 30/30
50,[35..45),[0..5),[60..70),[15..30],[30..40),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[0..5),[70..80),[15..30],[0..10),"34,5","63,11","0,8 m de (H)",GEOTESAN NT-58
50,[35..45),[0..5),[70..80),[15..30],[10..20),38,11,"0,8 m de (H)",GEOTEXGRID 30/30
50,[35..45),[0..5),[70..80),[15..30],[20..30),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[0..5),[70..80),[15..30],[30..40),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[0..5),[80..90),[15..30],[0..10),38,11,"0,8 m de (H)",GEOTEXGRID 30/30
50,[35..45),[0..5),[80..90),[15..30],[10..20),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[0..5),[80..90),[15..30],[20..30),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[0..5),[80..90),[15..30],[30..40),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[5..10),[50..60),[15..30],[0..10),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[5..10),[50..60),[15..30],[10..20),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[5..10),[50..60),[15..30],[20..30),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[5..10),[50..60),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[60..70),[15..30],[0..10),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[5..10),[60..70),[15..30],[10..20),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[5..10),[60..70),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[60..70),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[70..80),[15..30],[0..10),28,11,"0,8 m de (H)",GEOTEXGRID 50/20
50,[35..45),[5..10),[70..80),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[70..80),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[70..80),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[80..90),[15..30],[0..10),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[80..90),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[80..90),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[5..10),[80..90),[15..30],[30..40),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[25..35),[10..15),[50..60),[15..30],[0..10),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[50..60),[15..30],[10..20),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[50..60),[15..30],[20..30),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[50..60),[15..30],[30..40),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[60..70),[15..30],[0..10),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[60..70),[15..30],[10..20),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[60..70),[15..30],[20..30),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[60..70),[15..30],[30..40),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[70..80),[15..30],[0..10),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[70..80),[15..30],[10..20),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[70..80),[15..30],[20..30),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[70..80),[15..30],[30..40),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[80..90),[15..30],[0..10),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[80..90),[15..30],[10..20),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[80..90),[15..30],[20..30),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[25..35),[10..15),[80..90),[15..30],[30..40),36,11,"0,8 m de (H)",GEOTEXGRID 150/30
50,[35..45),[10..15),[50..60),[15..30],[0..10),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[10..15),[50..60),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[10..15),[50..60),[15..30],[20..30),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[10..15),[50..60),[15..30],[30..40),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[60..70),[15..30],[0..10),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[10..15),[60..70),[15..30],[10..20),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[10..15),[60..70),[15..30],[20..30),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[60..70),[15..30],[30..40),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[70..80),[15..30],[0..10),37,11,"0,8 m de (H)",GEOTEXGRID 80/30
50,[35..45),[10..15),[70..80),[15..30],[10..20),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[70..80),[15..30],[20..30),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[70..80),[15..30],[30..40),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[80..90),[15..30],[0..10),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[80..90),[15..30],[10..20),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[80..90),[15..30],[20..30),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
50,[35..45),[10..15),[80..90),[15..30],[30..40),35,11,"0,8 m de (H)",GEOTEXGRID 110/30
